College,Branch,Category,Rank
E186,AI,1G,93110
E186,AI,1K,0
E186,AI,1R,120269
E186,AI,2AG,101100
E186,AI,2AK,0
E186,AI,2AR,108185
E186,AI,2BG,96495
E186,AI,2BK,0
E186,AI,2BR,0
E186,AI,3AG,92521
E186,AI,3AK,0
E186,AI,3AR,0
E186,AI,3BG,97355
E186,AI,3BK,0
E186,AI,3BR,102665
E186,AI,GM,90539
E186,AI,GMK,97359
E186,AI,GMR,98472
E186,AI,SCG,138904
E186,AI,SCK,158586
E186,AI,SCR,0
E186,AI,STG,101394
E186,AI,STK,0
E186,AI,STR,0
E186,CE,1G,119330
E186,CE,1K,0
E186,CE,1R,0
E186,CE,2AG,117882
E186,CE,2AK,0
E186,CE,2AR,0
E186,CE,2BG,97723
E186,CE,2BK,0
E186,CE,2BR,0
E186,CE,3AG,101861
E186,CE,3AK,0
E186,CE,3AR,0
E186,CE,3BG,95225
E186,CE,3BK,0
E186,CE,3BR,0
E186,CE,GM,88361
E186,CE,GMK,0
E186,CE,GMR,102902
E186,CE,SCG,156160
E186,CE,SCK,0
E186,CE,SCR,0
E186,CE,STG,0
E186,CE,STK,0
E186,CE,STR,0
E186,CS,1G,41690
E186,CS,1K,0
E186,CS,1R,65574
E186,CS,2AG,46553
E186,CS,2AK,54796
E186,CS,2AR,52870
E186,CS,2BG,49556
E186,CS,2BK,0
E186,CS,2BR,0
E186,CS,3AG,41506
E186,CS,3AK,0
E186,CS,3AR,46024
E186,CS,3BG,46210
E186,CS,3BK,0
E186,CS,3BR,47729
E186,CS,GM,41052
E186,CS,GMK,46857
E186,CS,GMR,45012
E186,CS,SCG,98771
E186,CS,SCK,130543
E186,CS,SCR,139194
E186,CS,STG,67999
E186,CS,STK,0
E186,CS,STR,0
E186,CY-CS,1G,68109
E186,CY-CS,1K,0
E186,CY-CS,1R,0
E186,CY-CS,2AG,69511
E186,CY-CS,2AK,127464
E186,CY-CS,2AR,0
E186,CY-CS,2BG,84234
E186,CY-CS,2BK,0
E186,CY-CS,2BR,117109
E186,CY-CS,3AG,63303
E186,CY-CS,3AK,0
E186,CY-CS,3AR,85702
E186,CY-CS,3BG,61035
E186,CY-CS,3BK,0
E186,CY-CS,3BR,0
E186,CY-CS,GM,60467
E186,CY-CS,GMK,0
E186,CY-CS,GMR,77251
E186,CY-CS,SCG,135058
E186,CY-CS,SCK,0
E186,CY-CS,SCR,0
E186,CY-CS,STG,0
E186,CY-CS,STK,0
E186,CY-CS,STR,0
E186,DS,1G,70617
E186,DS,1K,0
E186,DS,1R,0
E186,DS,2AG,63676
E186,DS,2AK,0
E186,DS,2AR,90091
E186,DS,2BG,77189
E186,DS,2BK,0
E186,DS,2BR,0
E186,DS,3AG,61437
E186,DS,3AK,0
E186,DS,3AR,0
E186,DS,3BG,60678
E186,DS,3BK,75490
E186,DS,3BR,0
E186,DS,GM,59492
E186,DS,GMK,0
E186,DS,GMR,75593
E186,DS,SCG,124203
E186,DS,SCK,0
E186,DS,SCR,159425
E186,DS,STG,92734
E186,DS,STK,0
E186,DS,STR,0
E186,EC,1G,77082
E186,EC,1K,0
E186,EC,1R,0
E186,EC,2AG,70104
E186,EC,2AK,0
E186,EC,2AR,72794
E186,EC,2BG,79078
E186,EC,2BK,0
E186,EC,2BR,0
E186,EC,3AG,63779
E186,EC,3AK,0
E186,EC,3AR,0
E186,EC,3BG,0
E186,EC,3BK,0
E186,EC,3BR,0
E186,EC,GM,62116
E186,EC,GMK,63271
E186,EC,GMR,63630
E186,EC,SCG,121166
E186,EC,SCK,0
E186,EC,SCR,149339
E186,EC,STG,93129
E186,EC,STK,0
E186,EC,STR,0
E186,ME,1G,0
E186,ME,1K,0
E186,ME,1R,0
E186,ME,2AG,0
E186,ME,2AK,0
E186,ME,2AR,0
E186,ME,2BG,0
E186,ME,2BK,0
E186,ME,2BR,0
E186,ME,3AG,0
E186,ME,3AK,0
E186,ME,3AR,0
E186,ME,3BG,0
E186,ME,3BK,0
E186,ME,3BR,0
E186,ME,GM,160817
E186,ME,GMK,0
E186,ME,GMR,0
E186,ME,SCG,0
E186,ME,SCK,0
E186,ME,SCR,0
E186,ME,STG,0
E186,ME,STK,0
E186,ME,STR,0
E186,SE,1G,90781
E186,SE,1K,0
E186,SE,1R,0
E186,SE,2AG,90904
E186,SE,2AK,0
E186,SE,2AR,0
E186,SE,2BG,82424
E186,SE,2BK,0
E186,SE,2BR,0
E186,SE,3AG,87934
E186,SE,3AK,0
E186,SE,3AR,0
E186,SE,3BG,78719
