College,Branch,Category,Rank
E171,AI,1G,73655
E171,AI,1K,0
E171,AI,1R,0
E171,AI,2AG,67553
E171,AI,2AK,0
E171,AI,2AR,86741
E171,AI,2BG,62217
E171,AI,2BK,0
E171,AI,2BR,0
E171,AI,3AG,61735
E171,AI,3AK,0
E171,AI,3AR,0
E171,AI,3BG,60993
E171,AI,3BK,0
E171,AI,3BR,0
E171,AI,GM,60344
E171,AI,GMK,83829
E171,AI,GMR,70482
E171,AI,SCG,119223
E171,AI,SCK,0
E171,AI,SCR,202486
E171,AI,STG,76909
E171,AI,STK,0
E171,AI,STR,0
E171,CE,1G,0
E171,CE,1K,0
E171,CE,1R,0
E171,CE,2AG,0
E171,CE,2AK,0
E171,CE,2AR,0
E171,CE,2BG,0
E171,CE,2BK,0
E171,CE,2BR,0
E171,CE,3AG,0
E171,CE,3AK,0
E171,CE,3AR,0
E171,CE,3BG,0
E171,CE,3BK,0
E171,CE,3BR,0
E171,CE,GM,193726
E171,CE,GMK,0
E171,CE,GMR,0
E171,CE,SCG,0
E171,CE,SCK,0
E171,CE,SCR,0
E171,CE,STG,0
E171,CE,STK,0
E171,CE,STR,0
E171,CS,1G,51481
E171,CS,1K,0
E171,CS,1R,0
E171,CS,2AG,57199
E171,CS,2AK,60115
E171,CS,2AR,65827
E171,CS,2BG,56950
E171,CS,2BK,0
E171,CS,2BR,0
E171,CS,3AG,50304
E171,CS,3AK,0
E171,CS,3AR,0
E171,CS,3BG,51755
E171,CS,3BK,0
E171,CS,3BR,57901
E171,CS,GM,49728
E171,CS,GMK,56014
E171,CS,GMR,56193
E171,CS,SCG,104561
E171,CS,SCK,132792
E171,CS,SCR,124671
E171,CS,STG,123809
E171,CS,STK,0
E171,CS,STR,149896
E171,EC,1G,72018
E171,EC,1K,0
E171,EC,1R,0
E171,EC,2AG,79844
E171,EC,2AK,0
E171,EC,2AR,96379
E171,EC,2BG,83101
E171,EC,2BK,0
E171,EC,2BR,0
E171,EC,3AG,70830
E171,EC,3AK,0
E171,EC,3AR,0
E171,EC,3BG,72146
E171,EC,3BK,0
E171,EC,3BR,82542
E171,EC,GM,70256
E171,EC,GMK,80765
E171,EC,GMR,75641
E171,EC,SCG,162570
E171,EC,SCK,197478
E171,EC,SCR,0
E171,EC,STG,190788
E171,EC,STK,0
E171,EC,STR,0
E171,IC CS-IOT,1G,88670
E171,IC CS-IOT,1K,0
E171,IC CS-IOT,1R,0
E171,IC CS-IOT,2AG,84419
E171,IC CS-IOT,2AK,171537
E171,IC CS-IOT,2AR,0
E171,IC CS-IOT,2BG,85110
E171,IC CS-IOT,2BK,0
E171,IC CS-IOT,2BR,0
E171,IC CS-IOT,3AG,81406
E171,IC CS-IOT,3AK,0
E171,IC CS-IOT,3AR,0
E171,IC CS-IOT,3BG,84772
E171,IC CS-IOT,3BK,0
E171,IC CS-IOT,3BR,0
E171,IC CS-IOT,GM,81070
E171,IC CS-IOT,GMK,0
E171,IC CS-IOT,GMR,84679
E171,IC CS-IOT,SCG,157567
E171,IC CS-IOT,SCK,0
E171,IC CS-IOT,SCR,0
E171,IC CS-IOT,STG,0
E171,IC CS-IOT,STK,0
E171,IC CS-IOT,STR,0
E171,IE,1G,59257
E171,IE,1K,0
E171,IE,1R,0
E171,IE,2AG,58845
E171,IE,2AK,0
E171,IE,2AR,70875
E171,IE,2BG,75670
E171,IE,2BK,0
E171,IE,2BR,0
E171,IE,3AG,58357
E171,IE,3AK,0
E171,IE,3AR,0
E171,IE,3BG,56366
E171,IE,3BK,0
E171,IE,3BR,0
E171,IE,GM,56300
E171,IE,GMK,0
E171,IE,GMR,59848
E171,IE,SCG,124064
E171,IE,SCK,0
E171,IE,SCR,140914
E171,IE,STG,165936
E171,IE,STK,0
E171,IE,STR,0
E171,ME,1G,0
E171,ME,1K,0
E171,ME,1R,0
E171,ME,2AG,0
E171,ME,2AK,0
E171,ME,2AR,0
E171,ME,2BG,0
E171,ME,2BK,0
E171,ME,2BR,0
E171,ME,3AG,0
E171,ME,3AK,0
E171,ME,3AR,0
E171,ME,3BG,0
E171,ME,3BK,0
E171,ME,3BR,0
E171,ME,GM,200529
E171,ME,GMK,0
E171,ME,GMR,0
E171,ME,SCG,0
E171,ME,SCK,0
E171,ME,SCR,0
E171,ME,STG,0
E171,ME,STK,0
E171,ME,STR,0
E172,CE,1G,0
E172,CE,1K,0
E172,CE,1R,0
E172,CE,2AG,0
E172,CE,2AK,0
E172,CE,2AR,0
E172,CE,2BG,0
E172,CE,2BK,0
E172,CE,2BR,0
E172,CE,3AG,0
E172,CE,3AK,0
E172,CE,3AR,0
E172,CE,3BG,0
E172,CE,3BK,0
E172,CE,3BR,0
E172,CE,GM,172731
E172,CE,GMK,0
E172,CE,GMR,0
E172,CE,SCG,0
E172,CE,SCK,0
E172,CE,SCR,0
E172,CE,STG,0
E172,CE,STK,0
E172,CE,STR,0
E172,CS,1G,56984
E172,CS,1K,0
E172,CS,1R,0
E172,CS,2AG,55680
E172,CS,2AK,57125
E172,CS,2AR,59479
E172,CS,2BG,58128
E172,CS,2BK,0
E172,CS,2BR,0
E172,CS,3AG,46971
E172,CS,3AK,0
E172,CS,3AR,0
E172,CS,3BG,49253
E172,CS,3BK,0
E172,CS,3BR,54382
E172,CS,GM,46239
E172,CS,GMK,57030
E172,CS,GMR,52881
E172,CS,SCG,100100
E172,CS,SCK,148779
E172,CS,SCR,127175
E172,CS,STG,100737
E172,CS,STK,0
E172,CS,STR,112701
E172,EC,1G,79512
E172,EC,1K,0
E172,EC,1R,0
E172,EC,2AG,76918
E172,EC,2AK,0
E172,EC,2AR,80980
E172,EC,2BG,88722
E172,EC,2BK,0
E172,EC,2BR,108716
E172,EC,3AG,65828
E172,EC,3AK,0
E172,EC,3AR,0
E172,EC,3BG,66018
E172,EC,3BK,66314
E172,EC,3BR,0
E172,EC,GM,64803
E172,EC,GMK,0
E172,EC,GMR,67546
E172,EC,SCG,134736
E172,EC,SCK,0
E172,EC,SCR,161586
E172,EC,STG,139125
E172,EC,STK,0
E172,EC,STR,0
E172,EE,1G,111987
E172,EE,1K,0
E172,EE,1R,158215
E172,EE,2AG,101875
E172,EE,2AK,144175
E172,EE,2AR,118352
E172,EE,2BG,127779
E172,EE,2BK,0
E172,EE,2BR,0
E172,EE,3AG,0
E172,EE,3AK,0
E172,EE,3AR,0
E172,EE,3BG,91704
E172,EE,3BK,0
E172,EE,3BR,0
E172,EE,GM,90952
E172,EE,GMK,123579
E172,EE,GMR,108560
E172,EE,SCG,183046
E172,EE,SCK,0
E172,EE,SCR,0
E172,EE,STG,169406
E172,EE,STK,0
E172,EE,STR,0
E172,IE,1G,64759
E172,IE,1K,0
E172,IE,1R,0
E172,IE,2AG,58063
E172,IE,2AK,0
E172,IE,2AR,0
E172,IE,2BG,61006
E172,IE,2BK,0
E172,IE,2BR,0
E172,IE,3AG,53059
E172,IE,3AK,0
E172,IE,3AR,0
E172,IE,3BG,52445
E172,IE,3BK,0
E172,IE,3BR,0
E172,IE,GM,51979
E172,IE,GMK,0
E172,IE,GMR,56977
E172,IE,SCG,129736
E172,IE,SCK,0
E172,IE,SCR,195025
E172,IE,STG,180221
E172,IE,STK,0
E172,IE,STR,0
E172,ME,1G,0
E172,ME,1K,0
E172,ME,1R,0
E172,ME,2AG,0
E172,ME,2AK,0
E172,ME,2AR,0
E172,ME,2BG,0
E172,ME,2BK,0
E172,ME,2BR,0
E172,ME,3AG,0
E172,ME,3AK,0
E172,ME,3AR,0
E172,ME,3BG,0
E172,ME,3BK,0
E172,ME,3BR,0
E172,ME,GM,192299
E172,ME,GMK,0
E172,ME,GMR,0
E172,ME,SCG,0
E172,ME,SCK,0
E172,ME,SCR,0
E172,ME,STG,0
E172,ME,STK,0
E172,ME,STR,0
E173,CA-CS,1G,56132
E173,CA-CS,1K,0
E173,CA-CS,1R,57778
E173,CA-CS,2AG,57284
E173,CA-CS,2AK,0
E173,CA-CS,2AR,61687
E173,CA-CS,2BG,55931
E173,CA-CS,2BK,0
E173,CA-CS,2BR,0
E173,CA-CS,3AG,45715
E173,CA-CS,3AK,0
E173,CA-CS,3AR,0
E173,CA-CS,3BG,50057
E173,CA-CS,3BK,100624
E173,CA-CS,3BR,58094
E173,CA-CS,GM,45683
E173,CA-CS,GMK,81649
E173,CA-CS,GMR,52359
E173,CA-CS,SCG,132266
E173,CA-CS,SCK,0
E173,CA-CS,SCR,0
E173,CA-CS,STG,200370
E173,CA-CS,STK,0
E173,CA-CS,STR,0
E173,CE,1G,0
E173,CE,1K,0
E173,CE,1R,0
E173,CE,2AG,0
E173,CE,2AK,0
E173,CE,2AR,0
E173,CE,2BG,0
E173,CE,2BK,0
E173,CE,2BR,0
E173,CE,3AG,0
E173,CE,3AK,0
E173,CE,3AR,0
E173,CE,3BG,0
E173,CE,3BK,0
E173,CE,3BR,0
E173,CE,GM,192844
E173,CE,GMK,0
E173,CE,GMR,0
E173,CE,SCG,0
E173,CE,SCK,0
E173,CE,SCR,0
E173,CE,STG,0
E173,CE,STK,0
E173,CE,STR,0
E173,CS,1G,28993
E173,CS,1K,0
E173,CS,1R,0
E173,CS,2AG,33106
E173,CS,2AK,43973
E173,CS,2AR,38316
E173,CS,2BG,42099
E173,CS,2BK,0
E173,CS,2BR,0
E173,CS,3AG,28434
E173,CS,3AK,0
E173,CS,3AR,0
E173,CS,3BG,29094
E173,CS,3BK,0
E173,CS,3BR,38578
E173,CS,GM,26796
E173,CS,GMK,34882
E173,CS,GMR,31854
E173,CS,SCG,81195
E173,CS,SCK,92355
E173,CS,SCR,115162
E173,CS,STG,105166
E173,CS,STK,0
E173,CS,STR,105766
E173,DS,1G,68690
E173,DS,1K,0
E173,DS,1R,0
E173,DS,2AG,64764
E173,DS,2AK,0
E173,DS,2AR,69065
E173,DS,2BG,73729
E173,DS,2BK,0
E173,DS,2BR,156782
E173,DS,3AG,56401
E173,DS,3AK,89724
E173,DS,3AR,68887
E173,DS,3BG,60503
E173,DS,3BK,0
E173,DS,3BR,0
E173,DS,GM,55664
E173,DS,GMK,78647
E173,DS,GMR,62018
E173,DS,SCG,143099
E173,DS,SCK,0
E173,DS,SCR,0
E173,DS,STG,0
E173,DS,STK,0
E173,DS,STR,0
E173,EC,1G,62722
E173,EC,1K,0
E173,EC,1R,0
E173,EC,2AG,66020
E173,EC,2AK,75793
E173,EC,2AR,87970
E173,EC,2BG,73259
E173,EC,2BK,0
E173,EC,2BR,0
E173,EC,3AG,57019
E173,EC,3AK,0
E173,EC,3AR,69054
E173,EC,3BG,60842
E173,EC,3BK,0
E173,EC,3BR,0
E173,EC,GM,54580
E173,EC,GMK,68710
E173,EC,GMR,58508
E173,EC,SCG,148333
E173,EC,SCK,177212
E173,EC,SCR,172083
E173,EC,STG,163399
E173,EC,STK,0
E173,EC,STR,0
E173,IE,1G,45592
E173,IE,1K,0
E173,IE,1R,50506
E173,IE,2AG,40143
E173,IE,2AK,0
E173,IE,2AR,48834
E173,IE,2BG,56780
E173,IE,2BK,0
E173,IE,2BR,0
E173,IE,3AG,37041
E173,IE,3AK,0
E173,IE,3AR,0
E173,IE,3BG,41175
E173,IE,3BK,0
E173,IE,3BR,0
E173,IE,GM,36992
E173,IE,GMK,47803
E173,IE,GMR,45609
E173,IE,SCG,113612
E173,IE,SCK,0
E173,IE,SCR,141560
E173,IE,STG,182934
E173,IE,STK,0
E173,IE,STR,0
E173,ME,1G,0
E173,ME,1K,0
E173,ME,1R,0
E173,ME,2AG,0
E173,ME,2AK,0
E173,ME,2AR,0
E173,ME,2BG,0
E173,ME,2BK,0
E173,ME,2BR,0
E173,ME,3AG,0
E173,ME,3AK,0
E173,ME,3AR,0
E173,ME,3BG,0
E173,ME,3BK,0
E173,ME,3BR,0
E173,ME,GM,189892
E173,ME,GMK,0
E173,ME,GMR,0
E173,ME,SCG,0
E173,ME,SCK,0
E173,ME,SCR,0
E173,ME,STG,0
E173,ME,STK,0
E173,ME,STR,0
E174,CE,1G,0
E174,CE,1K,0
E174,CE,1R,0
E174,CE,2AG,0
E174,CE,2AK,0
E174,CE,2AR,0
E174,CE,2BG,0
E174,CE,2BK,0
E174,CE,2BR,0
E174,CE,3AG,0
E174,CE,3AK,0
E174,CE,3AR,0
E174,CE,3BG,0
E174,CE,3BK,0
E174,CE,3BR,0
E174,CE,GM,0
E174,CE,GMK,0
E174,CE,GMR,0
E174,CE,SCG,0
E174,CE,SCK,0
E174,CE,SCR,0
E174,CE,STG,0
E174,CE,STK,0
E174,CE,STR,0
E174,CS,1G,71977
E174,CS,1K,0
E174,CS,1R,0
E174,CS,2AG,71810
E174,CS,2AK,0
E174,CS,2AR,80277
E174,CS,2BG,78072
